"";"Datum";"Kraj";"Okres";"Nemocnica";"KodPZS";"Obsadene_covid_lozka";"Plucna_vent_lozka";"Suspektni_JIS_OAIM";"Potvrdeni_JIS_OAIM"
"15039";2020-09-05;"Bratislavský kraj";"Okres Bratislava III";"Národný ústav detských chorôb, špecializovaná nemocnica, Bratislava";"P43059323101";0;0;0;0
"15040";2020-09-05;"Bratislavský kraj";"Okres Bratislava III";"Národný ústav srdcových a cievnych chorôb, a.s., špecializovaná nemocnica, Bratislava";"P70249278103";0;0;0;0
"15041";2020-09-05;"Bratislavský kraj";"Okres Bratislava III";"NOVAPHARM, s.r.o., všeobecná nemocnica, Bratislava";"P84713004102";0;0;0;0
"15042";2020-09-05;"Bratislavský kraj";"Okres Bratislava III";"Univerzitná nemocnica Bratislava - všeobecná nemocnica akad. L. Dérera";"P40707002101";6;0;0;0
"15043";2020-09-05;"Bratislavský kraj";"Okres Bratislava V";"CINRE s. r. o., všeobecná nemocnica, Bratislava";"P68335010101";0;0;0;0
"15044";2020-09-05;"Bratislavský kraj";"Okres Bratislava V";"Univerzitná nemocnica Bratislava - všeobecná nemocnica sv. Cyrila a Metoda";"P40707025104";0;0;0;0
"15045";2020-09-05;"Bratislavský kraj";"Okres Bratislava V";"Záchranná zdravotná služba Bratislava, ambulancia ZZS";"P21661180231";0;0;0;0
"15046";2020-09-05;"Bratislavský kraj";"Okres Malacky";"Nemocničná a.s., všeobecná nemocnica, Malacky";"P29189010101";0;0;0;0
"15047";2020-09-05;"Bratislavský kraj";"Okres Pezinok";"LSE - Life Star Emergency, s.r.o., ambulancia ZZS";"P63486180210";0;0;0;0
"15048";2020-09-05;"Bratislavský kraj";"Okres Pezinok";"Psychiatrická nemocnica Philippa Pinela Pezinok, špecializovaná nemocnica";"P56642005101";0;0;0;0
"15049";2020-09-05;"Košický kraj";"Okres Košice I";"Vysokošpecializovaný odborný ústav geriatrický sv. Lukáša v Košiciach n.o., špecializovaná nemocnica";"P83767060101";0;0;0;0
"15050";2020-09-05;"Košický kraj";"Okres Košice I";"Železničné zdravotníctvo Košice, s.r.o., všeobecná nemocnica";"P45507025101";0;0;0;0
"15051";2020-09-05;"Košický kraj";"Okres Košice II";"Detská fakultná nemocnica Košice, všeobecná nemocnica";"P89483331101";0;0;0;0
"15052";2020-09-05;"Košický kraj";"Okres Košice II";"Nemocnica Košice - Šaca a.s. 1. súkromná nemocnica, všeobecná nemocnica";"P43979609101";0;0;0;0
"15053";2020-09-05;"Košický kraj";"Okres Košice II";"Východoslovenský ústav srdcových a cievnych chorôb, a.s., špecializovaná nemocnica, Košice";"P89851025101";0;0;0;0
"15054";2020-09-05;"Košický kraj";"Okres Košice IV";"Centrum pre liečbu drogových závislostí Košice, špecializovaná nemocnica";"P79975073101";0;0;0;0
"15055";2020-09-05;"Košický kraj";"Okres Košice IV";"Inštitút nukleárnej a molekulárnej medicíny, špecializovaná nemocnica, Košice";"P89543047101";0;0;0;0
"15056";2020-09-05;"Košický kraj";"Okres Košice IV";"Univerzitná nemocnica L.Pasteura Košice, všeobecná nemocnica";"P77017002101";2;1;0;0
"15057";2020-09-05;"Košický kraj";"Okres Košice IV";"Východoslovenský onkologický ústav, a.s., špecializovaná nemocnica, Košice";"P76995046101";0;0;0;0
"15058";2020-09-05;"Košický kraj";"Okres Košice IV";"Záchranná služba Košice, ambulancia ZZS";"P77031648212";0;0;0;0
"15059";2020-09-05;"Košický kraj";"Okres Michalovce";"Nemocnica s poliklinikou Štefana Kukuru Michalovce, a.s., všeobecná nemocnica";"P66599002101";12;2;0;0
"15060";2020-09-05;"Košický kraj";"Okres Michalovce";"Psychiatrická nemocnica Michalovce, n.o., špecializovaná nemocnica";"P76467105101";0;0;0;0
"15061";2020-09-05;"Košický kraj";"Okres Rožňava";"Nemocnica s poliklinikou sv. Barbory Rožňava, a.s., všeobecná nemocnica";"P85363027101";0;0;0;0
"15062";2020-09-05;"Košický kraj";"Okres Sobrance";"Regionálna nemocnica Sobrance, n.o., špecializovaná nemocnica";"P87123196101";0;0;0;0
"15063";2020-09-05;"Košický kraj";"Okres Spišská Nová Ves";"Nemocnica Krompachy spol. s r.o., všeobecná nemocnica";"P22041202101";0;0;0;0
"15064";2020-09-05;"Košický kraj";"Okres Spišská Nová Ves";"Nemocnica s poliklinikou Spišská Nová Ves, a.s., všeobecná nemocnica";"P36605013101";0;0;0;0
"15065";2020-09-05;"Košický kraj";"Okres Trebišov";"Nemocnica s poliklinikou n.o. Kráľovský Chlmec, všeobecná nemocnica";"P19800051101";0;0;0;0
"15066";2020-09-05;"Košický kraj";"Okres Trebišov";"Nemocnica s poliklinikou Trebišov, a.s., všeobecná nemocnica";"P81577014101";0;0;0;0
"15067";2020-09-05;"Nitriansky kraj";"Okres Komárno";"Nemocnica Komárno s. r. o., všeobecná nemocnica";"P77941001101";0;0;0;0
"15068";2020-09-05;"Nitriansky kraj";"Okres Komárno";"ZaMED, s.r.o., ambulancia ZZS";"P63339648201";0;0;0;0
"15069";2020-09-05;"Nitriansky kraj";"Okres Levice";"Hospitale, s.r.o., všeobecná nemocnica, Šahy";"P02816001101";0;0;0;0
"15070";2020-09-05;"Nitriansky kraj";"Okres Levice";"Nemocnica Levice s. r. o., všeobecná nemocnica";"P01675196101";0;0;0;0
"15071";2020-09-05;"Nitriansky kraj";"Okres Levice";"Psychiatrická nemocnica Hronovce, špecializovaná nemocnica";"P28247005102";0;0;0;0
"15072";2020-09-05;"Nitriansky kraj";"Okres Nitra";"Fakultná nemocnica Nitra, všeobecná nemocnica";"P85687002101";10;0;0;1
"15073";2020-09-05;"Nitriansky kraj";"Okres Nitra";"KARDIOCENTRUM NITRA s.r.o., špecializovaná nemocnica";"P30385278101";0;0;0;0
"15074";2020-09-05;"Nitriansky kraj";"Okres Nitra";"Psychiatrická nemocnica Veľké Zálužie, špecializovaná nemocnica";"P19393005101";1;0;0;0
"15075";2020-09-05;"Nitriansky kraj";"Okres Nitra";"Špecializovaná nemocnica sv.Svorada Zobor, n.o., špecializovaná nemocnica, Nitra";"P38527003102";0;0;0;0
"15076";2020-09-05;"Nitriansky kraj";"Okres Nové Zámky";"Fakultná nemocnica s poliklinikou Nové Zámky, všeobecná nemocnica";"P81095025101";0;0;0;0
"15077";2020-09-05;"Nitriansky kraj";"Okres Topoľčany";"Svet zdravia Nemocnica Topoľčany, a.s., všeobecná nemocnica";"P59688205101";0;0;0;0
"15078";2020-09-05;"Nitriansky kraj";"Okres Zlaté Moravce";"Nemocnica Zlaté Moravce a.s., všeobecná nemocnica";"P38629010101";0;0;0;0
"15079";2020-09-05;"Prešovský kraj";"Okres Bardejov";"NsP Sv. Jakuba, n.o., Bardejov, ambulancia ZZS";"N84209648201";0;0;0;0
"15080";2020-09-05;"Prešovský kraj";"Okres Bardejov";"NsP Sv. Jakuba, n.o., Bardejov, všeobecná nemocnica";"N84209025101";0;0;0;0
"15081";2020-09-05;"Prešovský kraj";"Okres Humenné";"Nemocnica A. Leňa Humenné, a.s., všeobecná nemocnica";"P27233192101";0;0;0;0
"15082";2020-09-05;"Prešovský kraj";"Okres Humenné";"ORL HUMENNÉ, s.r.o., špecializovaná nemocnica";"N61173014101";0;0;0;0
"15083";2020-09-05;"Prešovský kraj";"Okres Kežmarok";"Nemocnica Dr. Vojtecha Alexandra v Kežmarku n.o., všeobecná nemocnica";"N34535203101";0;0;0;0
"15084";2020-09-05;"Prešovský kraj";"Okres Levoča";"Všeobecná nemocnica s poliklinikou Levoča, a.s., všeobecná nemocnica";"P76239015101";0;0;0;0
"15085";2020-09-05;"Prešovský kraj";"Okres Poprad";"AIR - TRANSPORT EUROPE, spol. s r.o., ambulancia ZZS";"N57123181204";0;0;0;0
"15086";2020-09-05;"Prešovský kraj";"Okres Poprad";"Národný ústav detskej tuberkulózy a respiračných chorôb, n.o. Dolný Smokovec, špecializovaná nemocnica, Vysoké Tatry";"N19681156107";0;0;0;0
"15087";2020-09-05;"Prešovský kraj";"Okres Poprad";"Národný ústav tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie Vyšné Hágy, špecializovaná nemocnica";"N92999012101";0;0;0;0
"15088";2020-09-05;"Prešovský kraj";"Okres Poprad";"Nemocnica Poprad, a. s., všeobecná nemocnica";"N22001198101";0;0;0;0
"15089";2020-09-05;"Prešovský kraj";"Okres Poprad";"Sanatórium Dr. Guhra, n.o., špecializovaná nemocnica, Vysoké Tatry";"N19697003101";0;0;0;0
"15090";2020-09-05;"Prešovský kraj";"Okres Poprad";"Sanatórium Tatranská Kotlina, n.o., špecializovaná nemocnica, Vysoké Tatry";"N19491027102";0;0;0;0
"15091";2020-09-05;"Prešovský kraj";"Okres Prešov";"Fakultná nemocnica s poliklinikou J. A. Reimana Prešov, všeobecná nemocnica";"N33067002101";12;1;0;0
"15092";2020-09-05;"Prešovský kraj";"Okres Prešov";"MINERAL-SLOVAKIA, s.r.o., špecializovaná nemocnica, Prešov";"N45027027101";0;0;0;0
"15093";2020-09-05;"Prešovský kraj";"Okres Snina";"Nemocnica Snina, s.r.o., všeobecná nemocnica";"N80847192101";0;0;0;0
"15094";2020-09-05;"Prešovský kraj";"Okres Stará Ľubovňa";"Ľubovnianska nemocnica, n. o., všeobecná nemocnica, Stará Ľubovňa";"N56229010101";0;0;0;0
"15095";2020-09-05;"Prešovský kraj";"Okres Svidník";"Nemocnica arm. generála L. Svobodu Svidník, a.s., všeobecná nemocnica";"P97554001101";0;0;0;0
"15096";2020-09-05;"Prešovský kraj";"Okres Vranov nad Topľou";"Vranovská nemocnica, a.s., všeobecná nemocnica, Vranov nad Topľou";"P02824196101";0;0;0;0
"15097";2020-09-05;"Trenčiansky kraj";"Okres Bánovce nad Bebravou";"NEMOCNICA Bánovce - 3. súkromná nemocnica, s.r.o., všeobecná nemocnica";"P65639196101";0;0;0;0
"15098";2020-09-05;"Trenčiansky kraj";"Okres Ilava";"Nemocnica s poliklinikou Ilava, n.o., všeobecná nemocnica";"P87119205101";0;0;0;0
"15099";2020-09-05;"Trenčiansky kraj";"Okres Myjava";"Nemocnica s poliklinikou Myjava so sídlom v Myjave, ambulancia ZZS";"P82987179205";0;0;0;0
"15100";2020-09-05;"Trenčiansky kraj";"Okres Myjava";"Nemocnica s poliklinikou Myjava so sídlom v Myjave, všeobecná nemocnica";"P82987007101";0;0;0;0
"15101";2020-09-05;"Trenčiansky kraj";"Okres Nové Mesto nad Váhom";"NsP Nové Mesto nad Váhom n. o., špecializovaná nemocnica";"P86027001101";0;0;0;0
"15102";2020-09-05;"Trenčiansky kraj";"Okres Partizánske";"Nemocnica na okraji mesta, n.o., všeobecná nemocnica, Partizánske";"P63800205101";0;0;0;0
"15103";2020-09-05;"Trenčiansky kraj";"Okres Považská Bystrica";"Nemocnica s poliklinikou Považská Bystrica so sídlom v Považskej Bystrici, ambulancia ZZS";"P50945179201";0;0;0;0
"15104";2020-09-05;"Trenčiansky kraj";"Okres Považská Bystrica";"Nemocnica s poliklinikou Považská Bystrica so sídlom v Považskej Bystrici, všeobecná nemocnica";"P50945196101";0;0;0;0
"15105";2020-09-05;"Trenčiansky kraj";"Okres Prievidza";"NEMOCNICA Handlová - 2. súkromná nemocnica, s.r.o., všeobecná nemocnica";"P81801205101";0;0;0;0
"15106";2020-09-05;"Trenčiansky kraj";"Okres Prievidza";"Nemocnica s poliklinikou Prievidza so sídlom v Bojniciach, všeobecná nemocnica";"P51373009101";0;0;0;0
"15107";2020-09-05;"Trenčiansky kraj";"Okres Trenčín";"Fakultná nemocnica Trenčín, všeobecná nemocnica";"P42383002101";14;0;0;0
"15108";2020-09-05;"Trenčiansky kraj";"Okres Trenčín";"Nemocnica pre obvinených a odsúdených a Ústav na výkon trestu odňatia slobody Trenčín, špecializovaná nemocnica";"P84023196116";1;0;0;0
"15109";2020-09-05;"Trenčiansky kraj";"Okres Trenčín";"RZP, a.s., ambulancia ZZS";"P89597179207";0;0;0;0
"15110";2020-09-05;"Trnavský kraj";"Okres Dunajská Streda";"Nemocnica s poliklinikou Dunajská Streda, a.s., všeobecná nemocnica";"P51102199101";0;0;0;0
"15111";2020-09-05;"Trnavský kraj";"Okres Galanta";"Nemocnica s poliklinikou Sv. Lukáša Galanta, a.s., všeobecná nemocnica";"P80747196101";0;0;0;0
"15112";2020-09-05;"Trnavský kraj";"Okres Piešťany";"Národný ústav reumatických chorôb, špecializovaná nemocnica, Piešťany";"P48071045101";0;0;0;0
"15113";2020-09-05;"Trnavský kraj";"Okres Piešťany";"Nemocnica Alexandra Wintera n.o., všeobecná nemocnica, Piešťany";"P93083009101";0;0;0;0
"15114";2020-09-05;"Trnavský kraj";"Okres Skalica";"Fakultná nemocnica s poliklinikou Skalica, a.s., ambulancia ZZS";"P81264179201";0;0;0;0
"15115";2020-09-05;"Trnavský kraj";"Okres Skalica";"Fakultná nemocnica s poliklinikou Skalica, a.s., všeobecná nemocnica";"P81264051101";0;0;0;0
"15116";2020-09-05;"Trnavský kraj";"Okres Trnava";"Fakultná nemocnica Trnava, všeobecná nemocnica";"P20979002101";3;0;0;0
"15117";2020-09-05;"Žilinský kraj";"Okres Čadca";"Kysucká nemocnica s poliklinikou Čadca, všeobecná nemocnica";"N21149004101";0;0;0;0
"15118";2020-09-05;"Žilinský kraj";"Okres Dolný Kubín";"Dolnooravská nemocnica s poliklinikou MUDr. L. Nádaši Jégého Dolný Kubín, všeobecná nemocnica";"P51283196101";0;0;0;0
"15119";2020-09-05;"Žilinský kraj";"Okres Dolný Kubín";"Falck Záchranná a.s., ambulancia ZZS";"P62542180230";0;0;0;0
"15120";2020-09-05;"Žilinský kraj";"Okres Liptovský Mikuláš";"Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu  Liptovský Mikuláš, ambulancia ZZS";"P66051179201";0;0;0;0
"15121";2020-09-05;"Žilinský kraj";"Okres Liptovský Mikuláš";"Liptovská nemocnica s poliklinikou MUDr. Ivana Stodolu  Liptovský Mikuláš, všeobecná nemocnica";"P66051013101";0;0;0;0
"15122";2020-09-05;"Žilinský kraj";"Okres Martin";"Univerzitná nemocnica Martin, všeobecná nemocnica";"P38811002101";3;1;0;0
"15123";2020-09-05;"Žilinský kraj";"Okres Ružomberok";"Národný endokrinologický a diabetologický ústav n.o., špecializovaná nemocnica, Ľubochňa";"N38843153101";0;0;0;0
"15124";2020-09-05;"Žilinský kraj";"Okres Ružomberok";"Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica, všeobecná nemocnica, Ružomberok, ul. Považská";"P91151002101";6;1;0;0
"15125";2020-09-05;"Žilinský kraj";"Okres Tvrdošín";"Hornooravská nemocnica s poliklinikou Trstená, ambulancia ZZS";"P46405180201";0;0;0;0
"15126";2020-09-05;"Žilinský kraj";"Okres Tvrdošín";"Hornooravská nemocnica s poliklinikou Trstená, všeobecná nemocnica";"P46405010101";0;0;1;0
"15127";2020-09-05;"Žilinský kraj";"Okres Žilina";"Fakultná nemocnica s poliklinikou Žilina, všeobecná nemocnica";"N92725025101";0;0;0;0
"15128";2020-09-05;"Žilinský kraj";"Okres Žilina";"RESCUE SYSTÉM, s.r.o., ambulancia ZZS";"P92905648201";0;0;0;0
"15129";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"Centrum pre liečbu drogových závislostí Banská Bystrica, špecializovaná nemocnica";"P25477073101";0;0;0;0
"15130";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"Detská fakultná nemocnica s poliklinikou Banská Bystrica, všeobecná nemocnica";"N49813332101";0;0;0;0
"15131";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"Fakultná nemocnica s poliklinikou F.D.Roosevelta Banská Bystrica, všeobecná nemocnica";"N42231002101";0;1;0;0
"15132";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"Mammacentrum sv. Agáty Banská Bystrica, a. s., špecializovaná nemocnica";"P64658010101";0;0;0;0
"15133";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"Stredoslovenský ústav srdcových a cievnych chorôb, a.s., špecializovaná nemocnica, Banská Bystrica";"P35968069101";0;0;0;0
"15134";2020-09-06;"Banskobystrický kraj";"Okres Banská Bystrica";"ZELENÝ SEN, s. r. o., všeobecná nemocnica, Banská Bystrica";"P67828060101";0;0;0;0
"15135";2020-09-06;"Banskobystrický kraj";"Okres Brezno";"Nemocnica s poliklinikou Brezno, n.o., ambulancia ZZS";"N22399648201";0;0;0;0
"15136";2020-09-06;"Banskobystrický kraj";"Okres Brezno";"Nemocnica s poliklinikou Brezno, n.o., všeobecná nemocnica";"N22399201101";0;0;0;0
"15137";2020-09-06;"Banskobystrický kraj";"Okres Krupina";"Nemocnica Zvolen a. s., všeobecná nemocnica,  Krupina";"P79469205101";0;0;0;0
"15138";2020-09-06;"Banskobystrický kraj";"Okres Lučenec";"Všeobecná nemocnica s poliklinikou Lučenec n.o., všeobecná nemocnica";"N50139002101";1;0;0;0
"15139";2020-09-06;"Banskobystrický kraj";"Okres Revúca";"Nemocnica s poliklinikou, n.o. Revúca, všeobecná nemocnica";"P88780001101";0;0;0;0
"15140";2020-09-06;"Banskobystrický kraj";"Okres Revúca";"Odborný liečebný ústav psychiatrický n.o., špecializovaná nemocnica, Muráň";"N75877073103";0;0;0;0
"15141";2020-09-06;"Banskobystrický kraj";"Okres Rimavská Sobota";"GEMERCLINIC, n.o., všeobecná nemocnica, Hnúšťa";"P02150001101";0;0;0;0
"15142";2020-09-06;"Banskobystrický kraj";"Okres Rimavská Sobota";"Svet zdravia, a.s., všeobecná nemocnica, Rimavská Sobota";"P83216196102";0;0;0;0
"15143";2020-09-06;"Banskobystrický kraj";"Okres Veľký Krtíš";"Všeobecná nemocnica s poliklinikou, n.o., všeobecná nemocnica, Veľký Krtíš";"N51751025101";0;0;0;0
"15144";2020-09-06;"Banskobystrický kraj";"Okres Zvolen";"Gynpor s.r.o., všeobecná nemocnica, Sliač";"P62331009101";0;0;0;0
"15145";2020-09-06;"Banskobystrický kraj";"Okres Zvolen";"Národné rehabilitačné centrum Kováčová, špecializovaná nemocnica";"N55966027101";0;0;0;0
"15146";2020-09-06;"Banskobystrický kraj";"Okres Zvolen";"Nemocnica Zvolen a. s.,  všeobecná nemocnica, Zvolen";"P79469202101";0;0;0;0
"15147";2020-09-06;"Banskobystrický kraj";"Okres Zvolen";"OFTAL s.r.o., špecializovaná nemocnica, Zvolen";"N41659015101";0;0;0;0
"15148";2020-09-06;"Banskobystrický kraj";"Okres Žiar nad Hronom";"Psychiatrická nemocnica Profesora Matulaya Kremnica, špecializovaná nemocnica";"N27005105102";0;0;0;0
"15149";2020-09-06;"Banskobystrický kraj";"Okres Žiar nad Hronom";"Svet zdravia, a.s., všeobecná nemocnica, Žiar nad Hronom";"P83216007101";0;0;0;0
"15150";2020-09-06;"Bratislavský kraj";"Okres Bratislava I";"GPN s.r.o., špecializovaná nemocnica, Bratislava";"P56346009101";0;0;0;0
"15151";2020-09-06;"Bratislavský kraj";"Okres Bratislava I";"Onkologický ústav sv. Alžbety s.r.o., špecializovaná nemocnica, Bratislava";"P31683229101";0;0;0;0
"15152";2020-09-06;"Bratislavský kraj";"Okres Bratislava I";"Univerzitná nemocnica - Nemocnica svätého Michala, a. s., špecializovaná nemocnica, Bratislava";"P36845013101";0;0;0;0
"15153";2020-09-06;"Bratislavský kraj";"Okres Bratislava I";"Univerzitná nemocnica Bratislava - všeobecná nemocnica Staré Mesto";"P40707025106";0;0;0;0
"15154";2020-09-06;"Bratislavský kraj";"Okres Bratislava I";"Univerzitná nemocnica s poliklinikou Milosrdní bratia, spol. s r.o., všeobecná nemocnica, Bratislava";"P50769074101";0;0;0;0
"15155";2020-09-06;"Bratislavský kraj";"Okres Bratislava II";"AGEL Clinic s.r.o., špecializovaná nemocnica, Bratislava";"P87029011101";0;0;0;0
"15156";2020-09-06;"Bratislavský kraj";"Okres Bratislava II";"Centrum pre liečbu drogových závislostí, špecializovaná nemocnica, Bratislava";"P34109073101";0;0;0;0
"15157";2020-09-06;"Bratislavský kraj";"Okres Bratislava II";"clinica orthopedica, s.r.o., špecializovaná nemocnica, Bratislava";"P71940025101";0;0;0;0
"15158";2020-09-06;"Bratislavský kraj";"Okres Bratislava II";"Špecializovaná nemocnica pre ortopedickú protetiku Bratislava, n.o., špecializovaná nemocnica";"P93329039101";0;0;0;0
"15159";2020-09-06;"Bratislavský kraj";"Okres Bratislava II";"Univerzitná nemocnica Bratislava - všeobecná nemocnica Ružinov";"P40707025101";0;0;0;0
"15160";2020-09-06;"Bratislavský kraj";"Okres Bratislava III";"Národný onkologický ústav v Bratislave, špecializovaná nemocnica";"P38561319103";0;0;0;0
"15161";2020-09-06;"Bratislavský kraj";"Okres Bratislava III";"Národný ústav detských chorôb, špecializovaná nemocnica, Bratislava";"P43059323101";0;0;0;0
"15162";2020-09-06;"Bratislavský kraj";"Okres Bratislava III";"Národný ústav srdcových a cievnych chorôb, a.s., špecializovaná nemocnica, Bratislava";"P70249278103";0;0;0;0
"15163";2020-09-06;"Bratislavský kraj";"Okres Bratislava III";"NOVAPHARM, s.r.o., všeobecná nemocnica, Bratislava";"P84713004102";0;0;0;0
"15164";2020-09-06;"Bratislavský kraj";"Okres Bratislava III";"Univerzitná nemocnica Bratislava - všeobecná nemocnica akad. L. Dérera";"P40707002101";6;0;0;0
"15165";2020-09-06;"Bratislavský kraj";"Okres Bratislava V";"CINRE s. r. o., všeobecná nemocnica, Bratislava";"P68335010101";0;0;0;0
"15166";2020-09-06;"Bratislavský kraj";"Okres Bratislava V";"Univerzitná nemocnica Bratislava - všeobecná nemocnica sv. Cyrila a Metoda";"P40707025104";0;0;0;0
"15167";2020-09-06;"Bratislavský kraj";"Okres Bratislava V";"Záchranná zdravotná služba Bratislava, ambulancia ZZS";"P21661180231";0;0;0;0
"15168";2020-09-06;"Bratislavský kraj";"Okres Malacky";"Nemocničná a.s., všeobecná nemocnica, Malacky";"P29189010101";0;0;0;0
"15169";2020-09-06;"Bratislavský kraj";"Okres Pezinok";"LSE - Life Star Emergency, s.r.o., ambulancia ZZS";"P63486180210";0;0;0;0
"15170";2020-09-06;"Bratislavský kraj";"Okres Pezinok";"Psychiatrická nemocnica Philippa Pinela Pezinok, špecializovaná nemocnica";"P56642005101";0;0;0;0
"15171";2020-09-06;"Košický kraj";"Okres Košice I";"Vysokošpecializovaný odborný ústav geriatrický sv. Lukáša v Košiciach n.o., špecializovaná nemocnica";"P83767060101";0;0;0;0
"15172";2020-09-06;"Košický kraj";"Okres Košice I";"Železničné zdravotníctvo Košice, s.r.o., všeobecná nemocnica";"P45507025101";0;0;0;0
"15173";2020-09-06;"Košický kraj";"Okres Košice II";"Detská fakultná nemocnica Košice, všeobecná nemocnica";"P89483331101";0;0;0;0
"15174";2020-09-06;"Košický kraj";"Okres Košice II";"Nemocnica Košice - Šaca a.s. 1. súkromná nemocnica, všeobecná nemocnica";"P43979609101";0;0;0;0
"15175";2020-09-06;"Košický kraj";"Okres Košice II";"Východoslovenský ústav srdcových a cievnych chorôb, a.s., špecializovaná nemocnica, Košice";"P89851025101";0;0;0;0
"15176";2020-09-06;"Košický kraj";"Okres Košice IV";"Centrum pre liečbu drogových závislostí Košice, špecializovaná nemocnica";"P79975073101";0;0;0;0
"15177";2020-09-06;"Košický kraj";"Okres Košice IV";"Inštitút nukleárnej a molekulárnej medicíny, špecializovaná nemocnica, Košice";"P89543047101";0;0;0;0
"15178";2020-09-06;"Košický kraj";"Okres Košice IV";"Univerzitná nemocnica L.Pasteura Košice, všeobecná nemocnica";"P77017002101";2;1;0;0
"15179";2020-09-06;"Košický kraj";"Okres Košice IV";"Východoslovenský onkologický ústav, a.s., špecializovaná nemocnica, Košice";"P76995046101";0;0;0;0
"15180";2020-09-06;"Košický kraj";"Okres Košice IV";"Záchranná služba Košice, ambulancia ZZS";"P77031648212";0;0;0;0
"15181";2020-09-06;"Košický kraj";"Okres Michalovce";"Nemocnica s poliklinikou Štefana Kukuru Michalovce, a.s., všeobecná nemocnica";"P66599002101";12;2;0;0
"15182";2020-09-06;"Košický kraj";"Okres Michalovce";"Psychiatrická nemocnica Michalovce, n.o., špecializovaná nemocnica";"P76467105101";0;0;0;0
"15183";2020-09-06;"Košický kraj";"Okres Rožňava";"Nemocnica s poliklinikou sv. Barbory Rožňava, a.s., všeobecná nemocnica";"P85363027101";0;0;0;0
"15184";2020-09-06;"Košický kraj";"Okres Sobrance";"Regionálna nemocnica Sobrance, n.o., špecializovaná nemocnica";"P87123196101";0;0;0;0
"15185";2020-09-06;"Košický kraj";"Okres Spišská Nová Ves";"Nemocnica Krompachy spol. s r.o., všeobecná nemocnica";"P22041202101";0;0;0;0
"15186";2020-09-06;"Košický kraj";"Okres Spišská Nová Ves";"Nemocnica s poliklinikou Spišská Nová Ves, a.s., všeobecná nemocnica";"P36605013101";0;0;0;0
"15187";2020-09-06;"Košický kraj";"Okres Trebišov";"Nemocnica s poliklinikou n.o. Kráľovský Chlmec, všeobecná nemocnica";"P19800051101";0;0;0;0
"15188";2020-09-06;"Košický kraj";"Okres Trebišov";"Nemocnica s poliklinikou Trebišov, a.s., všeobecná nemocnica";"P81577014101";0;0;0;0
"15189";2020-09-06;"Nitriansky kraj";"Okres Komárno";"Nemocnica Komárno s. r. o., všeobecná nemocnica";"P77941001101";0;0;0;0
"15190";2020-09-06;"Nitriansky kraj";"Okres Komárno";"ZaMED, s.r.o., ambulancia ZZS";"P63339648201";0;0;0;0
"15191";2020-09-06;"Nitriansky kraj";"Okres Levice";"Hospitale, s.r.o., všeobecná nemocnica, Šahy";"P02816001101";0;0;0;0
"15192";2020-09-06;"Nitriansky kraj";"Okres Levice";"Nemocnica Levice s. r. o., všeobecná nemocnica";"P01675196101";0;0;0;0
"15193";2020-09-06;"Nitriansky kraj";"Okres Levice";"Psychiatrická nemocnica Hronovce, špecializovaná nemocnica";"P28247005102";0;0;0;0
"15194";2020-09-06;"Nitriansky kraj";"Okres Nitra";"Fakultná nemocnica Nitra, všeobecná nemocnica";"P85687002101";10;0;0;1
"15195";2020-09-06;"Nitriansky kraj";"Okres Nitra";"KARDIOCENTRUM NITRA s.r.o., špecializovaná nemocnica";"P30385278101";0;0;0;0
"15196";2020-09-06;"Nitriansky kraj";"Okres Nitra";"Psychiatrická nemocnica Veľké Zálužie, špecializovaná nemocnica";"P19393005101";1;0;0;0
"15197";2020-09-06;"Nitriansky kraj";"Okres Nitra";"Špecializovaná nemocnica sv.Svorada Zobor, n.o., špecializovaná nemocnica, Nitra";"P38527003102";0;0;0;0
"15198";2020-09-06;"Nitriansky kraj";"Okres Nové Zámky";"Fakultná nemocnica s poliklinikou Nové Zámky, všeobecná nemocnica";"P81095025101";0;0;0;0
"15199";2020-09-06;"Nitriansky kraj";"Okres Topoľčany";"Svet zdravia Nemocnica Topoľčany, a.s., všeobecná nemocnica";"P59688205101";0;0;0;0
"15200";2020-09-06;"Nitriansky kraj";"Okres Zlaté Moravce";"Nemocnica Zlaté Moravce a.s., všeobecná nemocnica";"P38629010101";0;0;0;0
"15201";2020-09-06;"Prešovský kraj";"Okres Bardejov";"NsP Sv. Jakuba, n.o., Bardejov, ambulancia ZZS";"N84209648201";0;0;0;0
"15202";2020-09-06;"Prešovský kraj";"Okres Bardejov";"NsP Sv. Jakuba, n.o., Bardejov, všeobecná nemocnica";"N84209025101";0;0;0;0
"15203";2020-09-06;"Prešovský kraj";"Okres Humenné";"Nemocnica A. Leňa Humenné, a.s., všeobecná nemocnica";"P27233192101";0;0;0;0
"15204";2020-09-06;"Prešovský kraj";"Okres Humenné";"ORL HUMENNÉ, s.r.o., špecializovaná nemocnica";"N61173014101";0;0;0;0
